[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:20:18.699] iteration 58 : total loss : 0.678315, loss_ce: 0.763676, loss_dice: 0.592955, loss_cons: 0.004772 , con_weight: 0.000000
[15:20:19.326] iteration 59 : total loss : 0.398914, loss_ce: 0.328383, loss_dice: 0.469444, loss_cons: 0.005479 , con_weight: 0.000000
[15:20:19.964] iteration 60 : total loss : 0.464952, loss_ce: 0.387908, loss_dice: 0.541996, loss_cons: 0.009382 , con_weight: 0.000000
[15:20:20.814] iteration 61 : total loss : 0.548968, loss_ce: 0.516688, loss_dice: 0.581247, loss_cons: 0.011624 , con_weight: 0.000000
[15:20:21.472] iteration 62 : total loss : 0.470841, loss_ce: 0.405495, loss_dice: 0.536186, loss_cons: 0.006696 , con_weight: 0.000000
[15:20:22.188] iteration 63 : total loss : 0.560985, loss_ce: 0.572770, loss_dice: 0.549200, loss_cons: 0.004928 , con_weight: 0.000000
[15:20:22.875] iteration 64 : total loss : 0.442744, loss_ce: 0.362982, loss_dice: 0.522506, loss_cons: 0.005497 , con_weight: 0.000000
[15:20:24.280] iteration 65 : total loss : 0.454015, loss_ce: 0.397137, loss_dice: 0.510893, loss_cons: 0.005826 , con_weight: 0.000000
[15:20:24.884] iteration 66 : total loss : 0.437834, loss_ce: 0.350356, loss_dice: 0.525312, loss_cons: 0.005835 , con_weight: 0.000000
[15:20:25.810] iteration 67 : total loss : 0.448728, loss_ce: 0.375986, loss_dice: 0.521471, loss_cons: 0.007070 , con_weight: 0.000000
[15:20:26.612] iteration 68 : total loss : 0.475827, loss_ce: 0.420485, loss_dice: 0.531168, loss_cons: 0.006285 , con_weight: 0.000000
[15:20:27.363] iteration 69 : total loss : 0.398418, loss_ce: 0.315623, loss_dice: 0.481213, loss_cons: 0.006097 , con_weight: 0.000000
[15:20:28.092] iteration 70 : total loss : 0.409285, loss_ce: 0.338259, loss_dice: 0.480311, loss_cons: 0.005300 , con_weight: 0.000000
[15:20:29.216] iteration 71 : total loss : 0.412886, loss_ce: 0.359347, loss_dice: 0.466425, loss_cons: 0.006218 , con_weight: 0.000000
[15:20:30.084] iteration 72 : total loss : 0.422002, loss_ce: 0.375452, loss_dice: 0.468552, loss_cons: 0.005460 , con_weight: 0.000000
[15:20:30.693] iteration 73 : total loss : 0.457388, loss_ce: 0.409643, loss_dice: 0.505133, loss_cons: 0.005284 , con_weight: 0.000000
[15:20:31.381] iteration 74 : total loss : 0.398284, loss_ce: 0.315574, loss_dice: 0.480995, loss_cons: 0.005597 , con_weight: 0.000000
[15:20:32.008] iteration 75 : total loss : 0.393730, loss_ce: 0.335365, loss_dice: 0.452096, loss_cons: 0.005649 , con_weight: 0.000000
[15:20:32.660] iteration 76 : total loss : 0.405220, loss_ce: 0.334485, loss_dice: 0.475955, loss_cons: 0.005390 , con_weight: 0.000000
[15:20:33.535] iteration 77 : total loss : 0.440823, loss_ce: 0.370058, loss_dice: 0.511589, loss_cons: 0.004585 , con_weight: 0.000000
[15:20:34.161] iteration 78 : total loss : 0.434336, loss_ce: 0.352715, loss_dice: 0.515956, loss_cons: 0.004508 , con_weight: 0.000000
[15:20:34.870] iteration 79 : total loss : 0.415050, loss_ce: 0.361509, loss_dice: 0.468591, loss_cons: 0.004967 , con_weight: 0.000000
[15:20:35.534] iteration 80 : total loss : 0.476945, loss_ce: 0.451273, loss_dice: 0.502618, loss_cons: 0.005355 , con_weight: 0.000000
[15:20:36.898] iteration 81 : total loss : 0.442506, loss_ce: 0.381348, loss_dice: 0.503665, loss_cons: 0.005241 , con_weight: 0.000000
[15:20:37.492] iteration 82 : total loss : 0.476836, loss_ce: 0.465352, loss_dice: 0.488321, loss_cons: 0.005300 , con_weight: 0.000000
